Course,Description,Full,Instructor,Days,Time,Location,Capacity
CHEM      1CL,GEN CHEMISTRY LAB,Closed,VAN KOPPEN P,M,1:00pm - 4:50pm,PSB-N2638,0 / 12
CHEM      1CL,GEN CHEMISTRY LAB,Closed,"['MCRAE S D', 'VAN KOPPEN P']",W,1:00pm - 4:50pm,PSB-N2653,18 / 14
CHEM      1CL,GEN CHEMISTRY LAB,Closed,"['HEINRICH S E', 'VAN KOPPEN P']",W,1:00pm - 4:50pm,PSB-N2654,16 / 14
CHEM      1CL,GEN CHEMISTRY LAB,Closed,VAN KOPPEN P,W,1:00pm - 4:50pm,PSB-N2638,0 / 12
CHEM      6AL,ORGANIC CHEM LAB,Full,GAINER M J,M W,1:00pm - 1:50pm,CHEM 1179,75 / 72
CHEM      6AL,,Closed,"['WANG ZONGHENG', 'GAINER M J']",T,1:00pm - 4:50pm,PSB-N1652,18 / 18
CHEM      6AL,,Closed,"['CHAKRABORTY A', 'GAINER M J']",T,1:00pm - 4:50pm,PSB-N1662,19 / 18
CHEM      6AL,,Closed,GAINER M J,T,1:00pm - 4:50pm,PSB-N1670,0 / 18
CHEM      6AL,,Full,"['WANG ZONGHENG', 'GAINER M J']",R,8:00 am - 11:50am,PSB-N1652,19 / 18
CHEM      6AL,,Full,"['CHAKRABORTY A', 'GAINER M J']",R,8:00 am - 11:50am,PSB-N1662,19 / 18
CHEM      6AL,,Closed,GAINER M J,R,8:00 am - 11:50am,PSB-N1670,0 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['WONG A R', 'GAINER M J']",M W,8:00 am - 11:50am,PSB-N1652,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['CHEN K Y', 'GAINER M J']",M W,8:00 am - 11:50am,PSB-N1662,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['ROA D E', 'GAINER M J']",M W,8:00 am - 11:50am,PSB-N1670,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['SEIFRID M T', 'GAINER M J']",M W,1:00pm - 4:50pm,PSB-N1652,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['SANTORI C', 'GAINER M J']",M W,1:00pm - 4:50pm,PSB-N1662,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['CHEN P', 'GAINER M J']",M W,1:00pm - 4:50pm,PSB-N1670,19 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['WONG Y', 'GAINER M J']",M W,5:00pm - 8:50pm,PSB-N1652,19 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['LI YANG', 'GAINER M J']",M W,5:00pm - 8:50pm,PSB-N1662,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['BORUM A K', 'GAINER M J']",M W,5:00pm - 8:50pm,PSB-N1670,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,"['LEWIS R B', 'GAINER M J']",T R,8:00 am - 11:50am,PSB-N1641,20 / 18
CHEM      6BL,ORGANIC CHEM LAB,Closed,GAINER M J,T R,1:00pm - 4:50pm,PSB-N1670,0 / 18
CHEM      6CL,ORGANIC CHEM LAB,Closed,"['LEE H J', 'GAINER M J']",M W,8:00 am - 11:50am,PSB-N1641,7 / 12
CHEM     99  ,INTRO TO RESEARCH,,MENARD G,,,T B A,1 / 40
CHEM     99  ,INTRO TO RESEARCH,Full,MENARD G,,,T B A,1 / 0
CHEM    109A ,ORGANIC CHEMISTRY,,LEWIS R B,M W F,12:00pm - 12:50pm,CHEM 1171,47 / 100
CHEM    109C ,ORGANIC CHEMISTRY,,GAINER M J,M W F,11:00am - 11:50am,CHEM 1179,109 / 200
CHEM W  142A ,BIOCHEM,,KAHN K,,,ONLINE,26 / 46
CHEM    150  ,ANALYTICAL CHEM,,BURATTO S K,MTWR,12:30pm - 1:35pm,NH   1105,31 / 65
CHEM    173A ,ADV INORG CHEMISTRY,,BERNT C M,T R,9:30 am - 10:45am,BRDA 1640,61 / 64
CHEM    173A ,,Full,"['HUNT C C', 'BERNT C M']",T,11:00am - 11:50am,HSSB 2202,17 / 14
CHEM    173A ,,Full,"['HUNT C C', 'BERNT C M']",T,1:00pm - 1:50pm,GIRV 2110,14 / 14
CHEM    173A ,,Full,"['CARROLL T G', 'BERNT C M']",R,11:00am - 11:50am,HSSB 2202,16 / 15
CHEM    173A ,,,"['CARROLL T G', 'BERNT C M']",R,1:00pm - 1:50pm,HSSB 2202,14 / 15
CHEM    192  ,HONORS RESEARCH,Full,T B A,,,T B A,0 / 0
CHEM    193  ,INTERNSHIP CHEM,,REICH N O,,,T B A,0 / 40
CHEM    193  ,INTERNSHIP CHEM,,REICH N O,,,T B A,0 / 40
CHEM    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
CH ST     1A ,INTRO CHICANO/A STD,Full,ARMBRUSTER R,MTW,11:00am - 12:20pm,PHELP2516,59 / 51
CH ST     1A ,,Full,PASCAL N A,R,10:00am - 10:50am,SH   1609,19 / 17
CH ST     1A ,,Full,PASCAL N A,R,11:00am - 11:50am,SH   1609,20 / 17
CH ST     1A ,,Full,PASCAL N A,R,12:00pm - 12:50pm,SH   1609,20 / 17
CH ST     1B ,INTRO CHICANO/A STD,Cancelled,T B A,,,T B A,0 / 51
CH ST     1B ,,Cancelled,,,,T B A,0 / 17
CH ST     1B ,,Cancelled,,,,T B A,0 / 17
CH ST     1B ,,Cancelled,,,,T B A,0 / 17
CH ST     1C ,INTRO CHICANO/A STD,,GARCIA-MARTIN,MTW,12:30pm - 1:50pm,PHELP1425,54 / 60
CH ST     1C ,,,BARBA A M,R,10:00am - 10:50am,SH   1609,17 / 20
CH ST     1C ,,,BARBA A M,R,12:00pm - 12:50pm,HSSB 2201,19 / 20
CH ST     1C ,,,BARBA A M,R,1:00pm - 1:50pm,HSSB 2201,18 / 20
CH ST   103  ,CHICANA/O MEDIA,,CASILLAS D I,MTWR,2:00pm - 4:05pm,GIRV 2112,9 / 35
CH ST   138  ,BARRIO POPULAR CULT,,ZARATE A D,M W,2:00pm - 4:05pm,PHELP1440,31 / 35
CH ST   168B ,HISTORY OF CHICANOS,,MORENO CAMPOS,M W,3:30pm - 5:35pm,PHELP1445,29 / 35
CH ST   168F ,RACISM AMER HIST,Full,PRADO A O,MTW,9:30 am - 10:50am,PHELP1445,35 / 35
CH ST   181  ,THE CHICANO NOVEL,,GARCIA M,MTWR,11:00am - 12:05pm,PHELP1440,23 / 35
CH ST   184A ,CHICANA WRITERS,,VILLANUEVA-NI,T R,2:00pm - 4:05pm,PHELP1440,28 / 35
CH ST   189  ,IMMIG-US-MEX BORDER,Full,GARCIA-MARTIN,M W,3:30pm - 5:35pm,PHELP1444,35 / 35
CH ST   199RA,IND RESEARCH ASST,,T B A,,,T B A,0 / 15
CHIN    103  ,READ & WRT IN CHIN,Full,HSU C-C,MTWR,9:30 am - 12:25pm,HSSB 1223,20 / 20
CHIN    198  ,READINGS IN CHINESE,,T B A,,,T B A,0 / 5
CHIN    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
CLASS    20A ,ANCIENT GREEKS,,VEGA J C,MTWR,2:00pm - 3:20pm,LSB  1101,18 / 25
CLASS    20B ,ROMANS,Full,SMITH J S,MTWR,3:30pm - 4:50pm,GIRV 1119,23 / 20
CLASS    40  ,GREEK MYTHOLOGY,,DIGHTON A T,MTWR,11:00am - 12:20pm,BUCHN1930,75 / 100
CLASS    40  ,,,NESBIT D M,W,9:00 am - 9:50 am,GIRV 1106,4 / 12
CLASS    40  ,,,NESBIT D M,W,10:00am - 10:50am,GIRV 1106,10 / 12
CLASS    40  ,,,NESBIT D M,W,2:00pm - 2:50pm,HSSB 2202,11 / 12
CLASS    40  ,,,CARRETE A,T,10:00am - 10:50am,GIRV 1106,8 / 12
CLASS    40  ,,,CARRETE A,T,1:00pm - 1:50pm,HSSB 2202,8 / 12
CLASS    40  ,,,CARRETE A,T,2:00pm - 2:50pm,HSSB 2202,9 / 12
CLASS    40  ,,,JAQUA K M,M,1:00pm - 1:50pm,HSSB 2202,9 / 12
CLASS    40  ,,,JAQUA K M,M,2:00pm - 2:50pm,HSSB 2202,7 / 12
CLASS    40  ,,,JAQUA K M,M,4:00pm - 4:50pm,HSSB 2202,9 / 12
CLASS    40  ,GREEK MYTHOLOGY,Full,GALLUCCI R,MTWR,9:30 am - 10:50am,BUCHN1910,290 / 284
CLASS    40  ,,Full,ARALERE T S,T,8:00 am - 8:50 am,HSSB 1210,26 / 24
CLASS    40  ,,Full,ERDMAN C S,T,1:00pm - 1:50pm,HSSB 1223,24 / 24
CLASS    40  ,,Full,ERDMAN C S,T,4:00pm - 4:50pm,HSSB 1211,24 / 24
