Course,Description,Full,Instructor,Days,Time,Location,Capacity
ENV S   112  ,WORLD POPULATION,Full,KUNDU M,MTWR,2:00pm - 3:10pm,ARTS 1356,54 / 54
ENV S   115  ,ENERGY AND THE ENVT,,GEE Q P,MTWR,11:00am - 12:10pm,BRDA 1640,63 / 75
ENV S   122CC,RHET CLIMATE CHANGE,Full,HILTNER K C,MTWR,9:30 am - 10:35am,387  1015,19 / 19
ENV S   130A ,HUMAN NATURAL SYS,,MALDONADO J K,MTWR,9:30 am - 10:40am,387  1015,35 / 40
ENV S   160  ,AMERICAN ENV. LIT,Closed,KRYDER E A,M W,5:30pm - 7:35pm,GIRV 1116,33 / 40
ENV S   183  ,FILM & ENVIRONMENT,Full,MARTIN J A,T R,6:30pm - 8:40pm,HSSB 1173,50 / 50
ENV S   188  ,ENVIRON ETHICS,,PYE L,MTWR,8:00 am - 9:10 am,SH   1430,47 / 50
ENV S   193BH,MARINE CONSERVATION,Closed,BIRNEY K M,T R,1:00pm - 2:20pm,SSMS 2303,17 / 20
ENV S   193BH,,Closed,,W,12:30pm - 3:00pm,OFF  CAMPS,17 / 20
ENV S   193GB,GREEN BUILDING,,KAYSEN B J,T R,6:00pm - 8:05pm,GIRV 2129,34 / 40
ENV S   193PL,PUBLIC LANDS,,WILLIAMS D L,MTWR,3:30pm - 4:40pm,PHELP1444,26 / 35
ENV S   196  ,INTRO TEACHING ES,,T B A,,,T B A,0 / 5
ENV S   199RA,INDEPENDEN RESEARCH,,T B A,,,T B A,0 / 5
ESS  W    3  ,NUTRITION/HEALTH,,JAMIESON A E,,,ONLINE,116 / 150
ESS  W    3  ,NUTRITION/HEALTH,,JAMIESON A E,,,ONLINE,149 / 150
FEMSTW   20  ,INTRO GENDER POWER,,STAHL A,,,ONLINE,111 / 120
FEMSTW   20  ,,Full,MORALES N,,,ONLINE,20 / 20
FEMSTW   20  ,,,MORALES N,,,ONLINE,17 / 20
FEMSTW   20  ,,,MORALES N,,,ONLINE,19 / 20
FEMSTW   20  ,,Full,KAYLOR S M,,,ONLINE,20 / 20
FEMSTW   20  ,,,KAYLOR S M,,,ONLINE,15 / 20
FEMSTW   20  ,,Full,KAYLOR S M,,,ONLINE,20 / 20
FEMSTW   20  ,INTRO GENDER POWER,Full,WALD A P,,,ONLINE,120 / 120
FEMSTW   20  ,,Full,MIRELES M A,,,ONLINE,20 / 20
FEMSTW   20  ,,Full,MIRELES M A,,,ONLINE,20 / 20
FEMSTW   20  ,,Full,MIRELES M A,,,ONLINE,20 / 20
FEMSTW   20  ,,Full,SCHUSTER E C,,,ONLINE,20 / 20
FEMSTW   20  ,,Full,SCHUSTER E C,,,ONLINE,20 / 20
FEMSTW   20  ,,Full,SCHUSTER E C,,,ONLINE,20 / 20
FEMST    60  ,WOMEN OF COLOR,Full,SPENCER M H,MTWR,2:00pm - 3:20pm,BUCHN1934,22 / 21
FEMST    80  ,INTRO TO LGBTQ STUD,Closed,SORIANO K M,MTWR,11:00am - 12:20pm,BUCHN1934,18 / 25
FEMSTW  150  ,"SEX, LOVE & ROMANCE",,WALD A P,,,T B A,184 / 240
FEMSTW  150  ,,,PIERCE A M,,,T B A,19 / 20
FEMSTW  150  ,,,PIERCE A M,,,T B A,19 / 20
FEMSTW  150  ,,,PIERCE A M,,,T B A,19 / 20
FEMSTW  150  ,,,SORIN C R,,,T B A,16 / 20
FEMSTW  150  ,,,SORIN C R,,,T B A,11 / 20
FEMSTW  150  ,,,SORIN C R,,,T B A,12 / 20
FEMSTW  150  ,,,SPENCER M H,,,T B A,19 / 20
FEMSTW  150  ,,,SPENCER M H,,,T B A,19 / 20
FEMSTW  150  ,,,SPENCER M H,,,T B A,14 / 20
FEMSTW  150  ,,,WEBBER M E,,,T B A,11 / 20
FEMSTW  150  ,,,WEBBER M E,,,T B A,12 / 20
FEMSTW  150  ,,,WEBBER M E,,,T B A,13 / 20
FEMSTW  150  ,"SEX, LOVE & ROMANCE",Full,T B A,,,T B A,180 / 180
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,Full,,,,T B A,21 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,,,,,T B A,19 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMSTW  150  ,,Full,,,,T B A,20 / 20
FEMST   198  ,READING WOMEN'S STU,,T B A,,,T B A,0 / 5
FEMST   199  ,IND STU WOMEN'S STU,,T B A,,,T B A,0 / 5
FEMST   199RA,IND RES FEMST,Full,T B A,,,T B A,0 / 0
FAMST    46  ,INTRO TO CINEMA,Closed,FELANDO C L,T R,10:00am - 12:50pm,HSSB 6020,40 / 60
FAMST    46  ,,,ZHANG XIUHE,W,12:00pm - 12:50pm,SSMS 2013,11 / 20
FAMST    46  ,,,ZHANG XIUHE,W,1:00pm - 1:50pm,SSMS 2013,14 / 20
FAMST    46  ,,,ZHANG XIUHE,W,2:00pm - 2:50pm,SSMS 2013,15 / 20
FAMST    46  ,INTRO TO CINEMA,,BRUSUTTI A,M W,10:00am - 12:50pm,BUCHN1920,79 / 95
FAMST    46  ,,,BALLINA CALDE,M,1:00pm - 1:50pm,SSMS 2013,12 / 15
FAMST    46  ,,,BALLINA CALDE,M,2:00pm - 2:50pm,SSMS 2013,12 / 15
FAMST    46  ,,,BALLINA CALDE,M,3:00pm - 3:50pm,SSMS 2013,12 / 15
FAMST    46  ,,,MORGENSTERN T,T,10:00am - 10:50am,SSMS 2013,13 / 15
FAMST    46  ,,,MORGENSTERN T,T,11:00am - 11:50am,SSMS 2013,15 / 16
FAMST    46  ,,,MORGENSTERN T,T,12:00pm - 12:50pm,SSMS 2013,15 / 16
FAMST    70  ,MEDIA CRITICISM,Closed,HOLT J,T R,10:00am - 12:50pm,BUCHN1920,46 / 60
FAMST    70  ,,,KILEY J T,W,10:00am - 10:50am,SSMS 2013,14 / 20
FAMST    70  ,,,KILEY J T,W,11:00am - 11:50am,SSMS 2013,19 / 20
FAMST    70  ,,,KILEY J T,W,9:00 am - 9:50 am,SSMS 2013,13 / 20
FAMST    95  ,INTERNSHIP,Full,PALLADINO J N,,,T B A,0 / 0
FAMST    96  ,ADV FILM ANALYSIS,Full,LERNER S E,M W,10:00am - 11:50am,PLLOKTHTR,56 / 55
FAMST    96  ,,Full,,M,1:30pm - 3:30pm,PLLOKTHTR,56 / 55
FAMST    96  ,,Full,,M,4:30pm - 6:30pm,PLLOKTHTR,56 / 55
FAMST    96  ,,Full,MOORE J S,T,1:00pm - 1:50pm,SSMS 2013,19 / 19
FAMST    96  ,,Full,MOORE J S,T,2:00pm - 2:50pm,SSMS 2013,18 / 18
FAMST    96  ,,Full,MOORE J S,T,3:00pm - 3:50pm,SSMS 2013,19 / 18
FAMST    99  ,INDEPENDENT STUDIES,Full,T B A,,,T B A,0 / 0
FAMST   104  ,PRODUCTION TECH,Full,JENKINS C L,T R,9:00 am - 11:50am,SSMS 2303,16 / 16
FAMST   104  ,,Cancelled,,,,T B A,0 / 16
FAMST   108  ,SHORT PRODUCTION,Cancelled,JENKINS C L,,,T B A,0 / 16
FAMST   109EM,TOPICS IN FILM PROD,Closed,HANRAHAN M S,M W,9:00 am - 11:50am,SSMS 2303,17 / 18
FAMST   109EP,TOPICS IN FILM PROD,Closed,HANRAHAN M S,M W,9:00 am - 11:50am,SSMS 2303,17 / 18
FAMST   116  ,EDITING,Closed,LEARNED-WOLF,T R,10:00am - 12:50pm,SSMS 2414,16 / 15
FAMST   182  ,INTRO ENV MEDIA,Closed,HUTTON R E,T R,9:00 am - 11:50am,SSMS 2303,17 / 18
FAMST   187MI,MEDICAL IMAGINATION,,BRUSUTTI A,T R,10:00am - 12:50pm,SSMS 2017,17 / 18
FAMST   187MI,,Cancelled,,,,T B A,0 / 18
FAMST   187QT,TOPICS IN ANALYSIS,Cancelled,FELANDO C L,,,T B A,0 / 0
FAMST   187QT,,Cancelled,,,,T B A,0 / 0
FAMST   187YC,YOUTH CULTURE,Closed,FELANDO C L,T R,2:00pm - 4:50pm,SSMS 2013,17 / 18
FAMST   188A ,BASIC SCREENWRITING,Closed,GOLDING J L,T R,3:00pm - 5:50pm,SSMS 2303,20 / 22
FAMST   188A ,BASIC SCREENWRITING,,MCNAMARA J P,W F,3:00pm - 5:50pm,SSMS 2303,21 / 22
FAMST   192CT,FILM & MEDIA THEORY,,STROBEL N E,M W,1:00pm - 3:50pm,BUCHN1920,49 / 56
FAMST   192CT,,Full,BALL R C,T,1:00pm - 1:50pm,SSMS 2303,19 / 19
FAMST   192CT,,,BALL R C,T,2:00pm - 2:50pm,SSMS 2303,16 / 19
FAMST   192CT,,,BALL R C,T,3:00pm - 3:50pm,SSMS 2303,14 / 18
FAMST   192FT,FILM & MEDIA THEORY,,LANGDALE G A,T R,1:00pm - 3:50pm,BUCHN1920,45 / 60
FAMST   192FT,,,COX N M,W,1:00pm - 1:50pm,SSMS 2303,19 / 20
FAMST   192FT,,,COX N M,W,2:00pm - 2:50pm,SSMS 2303,16 / 20
FAMST   192FT,,,COX N M,W,3:00pm - 3:50pm,SSMS 2303,10 / 19
FAMST   195I ,INTERNSHIP,,PALLADINO J N,,,T B A,1 / 10
FAMST   195I ,INTERNSHIP,,PALLADINO J N,,,T B A,2 / 10
FAMST   195I ,INTERNSHIP,,PALLADINO J N,,,T B A,2 / 5
FAMST   196  ,SENIOR HONORS SEM,Full,T B A,,,T B A,0 / 0
FAMST   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
FR        1  ,ELEMENTARY FRENCH,,VIVIAN D A,MTWRF,9:30 am - 11:45am,HSSB 4202,16 / 20
FR        2  ,ELEMENTARY FRENCH,,DESGENS-MARTI,MTWRF,9:30 am - 11:45am,HSSB 4202,15 / 20
FR        3  ,ELEMENTARY FRENCH,Full,LMAIFI M,MTWRF,9:30 am - 11:45am,HSSB 1210,20 / 20
FR       99  ,INDEPENDENT STUDY,Full,T B A,,,T B A,0 / 0
FR      154F ,TIME OFF IN PARIS,Full,NESCI C,TWR,11:00am - 12:25pm,387  1015,36 / 35
FR      154G ,POSTCOLONIALCULTURE,,LUNA A,TWR,2:00pm - 3:25pm,PHELP1444,23 / 30
FR      199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
GEOG      3A ,OCEAN/ATMOSPHERE,,MONTINI T L,MTWR,11:00am - 12:05pm,ELLSN3621,25 / 27
GEOG      3A ,,,ROMICH T L,T,3:30pm - 4:50pm,ELLSN3620,25 / 27
GEOG      3B ,"LAND, WATER & LIFE",Full,GAMELIN B L,MTWR,9:30 am - 10:35am,ELLSN3621,27 / 27
GEOG      3B ,,Full,VAHEDI TORGHA,M,3:30pm - 4:50pm,ELLSN3621,27 / 27
GEOG      5  ,PEOPLE/PLACE/ENVIRO,,RUBIO-VELAZQU,MTWR,2:00pm - 3:05pm,ELLSN3621,20 / 27
GEOG      5  ,,,PHILLIPS D W,M,3:30pm - 4:50pm,ELLSN3621,20 / 27
GEOG W    8  ,GLOBAL WARMING,Full,GAUTIER C H,,,T B A,80 / 80
GEOG W    8  ,,Full,FELICIANO M W,,,T B A,80 / 80
GEOG W   12  ,MAPS SPAT REAS,Closed,SUAREZ A M,,,T B A,94 / 100
GEOG W   12  ,,,EYELADE O D,,,T B A,94 / 100
GEOG     20  ,GEOG OF SURFING,,VOSS K A,MTWR,9:00 am - 10:05am,ELLSN3621,9 / 81
GEOG     20  ,,,SOLGI M,R,3:30pm - 4:50pm,ELLSN3621,2 / 27
GEOG     20  ,,,SOLGI M,W,3:30pm - 4:50pm,ELLSN3621,7 / 27
GEOG     20  ,,Closed,SOLGI M,F,11:00am - 12:20pm,ELLSN3621,0 / 27
GEOG     20  ,GEOG OF SURFING,,TUHOLSKE C P,MTWR,2:00pm - 3:05pm,BUCHN1930,71 / 81
GEOG     20  ,,,SOLGI M,T,3:30pm - 4:50pm,ELLSN3621,26 / 27
GEOG     20  ,,,SOLGI M,W,3:30pm - 4:50pm,ELLSN3621,22 / 27
GEOG     20  ,,,SOLGI M,R,3:30pm - 4:50pm,ELLSN3621,23 / 27
GEOG    172  ,INTER GEOG DATA,Full,STIEFEL M S,MTWR,11:00am - 12:05pm,ELLSN3621,24 / 24
GEOG    172  ,,Full,HODGES C J,W,2:00pm - 4:50pm,ELLSN3620,24 / 24
GEOG    176A ,INTRO GEOG INF SYS,,ZHU R,MTWR,12:30pm - 1:35pm,PHELP1160,44 / 48
GEOG    176A ,,,CANTER Z R,T,2:00pm - 4:50pm,ELLSN3620,23 / 24
GEOG    176A ,,,SHI M,M,2:00pm - 4:50pm,ELLSN3620,21 / 24
GEOG    185B ,ENVIRO DECISION MKG,,PLUDOW B A,MTWR,12:30pm - 1:35pm,ELLSN3621,19 / 24
GEOG    185B ,,,KIRKBY J M,F,10:00am - 12:50pm,ELLSN3620,19 / 24
GEOG    193  ,INTERN IN GEOGRAPHY,,T B A,,,T B A,0 / 50
GEOG    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 50
GEOG    199RA,INDEP RESEARCH ASST,,T B A,,,T B A,0 / 50
GER       1  ,ELEMENTARY GERMAN,Closed,WHITE K D,MTWR,9:30 am - 12:20pm,HSSB 1224,19 / 26
GER       2  ,ELEMENTARY GERMAN,,WHITE K D,MTWR,9:30 am - 12:20pm,HSSB 1224,16 / 26
GER       3  ,ELEMENTARY GERMAN,,SHEEDY M A,MTWR,9:30 am - 12:20pm,HSSB 1214,14 / 26
GER      55A ,GER POP CULTURE,Full,SHEEDY M A,MTWR,12:30pm - 1:55pm,GIRV 1108,19 / 18
GER     199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
GLOBL     1  ,GLOBL HIS/CUL/IDEOL,,PINHEIRO DE O,MTWR,11:00am - 12:15pm,GIRV 1004,116 / 206
GLOBL     1  ,,,AHMED J,T,12:30pm - 1:20pm,HSSB 4201,16 / 22
GLOBL     1  ,,,RIORDAN E T,M,3:00pm - 3:50pm,HSSB 3201,11 / 22
GLOBL     1  ,,,MILLER M J,W,9:30 am - 10:20am,SH   1609,18 / 22
GLOBL     1  ,,,AHMED J,M,2:00pm - 2:50pm,HSSB 3201,14 / 22
GLOBL     1  ,,,RIORDAN E T,T,3:30pm - 4:20pm,HSSB 3201,14 / 22
GLOBL     1  ,,,MILLER M J,W,2:00pm - 2:50pm,HSSB 3201,13 / 22
GLOBL     1  ,,,AHMED J,M,9:30 am - 10:20am,HSSB 3201,7 / 22
GLOBL     1  ,,,MILLER M J,W,3:30pm - 4:20pm,HSSB 3201,8 / 22
GLOBL     1  ,,,RIORDAN E T,T,2:00pm - 2:50pm,HSSB 3201,15 / 22
GLOBL   111  ,HUMAN RIGHTS,Closed,FAUST J M,MTWR,11:00am - 12:05pm,HSSB 1173,57 / 75
GLOBL   161  ,GLOB ENV POLITICS,Full,AHO B C,MTWR,11:00am - 12:05pm,HSSB 1173,75 / 75
GLOBL   172  ,INTL ORG GLOBAL GOV,Closed,BRYSK A,MTWR,12:30pm - 1:35pm,HSSB 1173,75 / 75
GLOBL   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
HIST W    2A ,WORLD HISTORY,Full,BARBIERI-LOW,,,ONLINE,54 / 54
HIST      2C ,WORLD HISTORY,,STEPHENS C C,MTWR,12:30pm - 1:45pm,PSYCH1924,79 / 108
HIST      2C ,,,JOHN E L,T,2:00pm - 2:50pm,ELLSN2816,15 / 18
HIST      2C ,,,JOHN E L,T,3:00pm - 3:50pm,GIRV 2135,17 / 18
HIST      2C ,,,JOHN E L,T,4:00pm - 4:50pm,GIRV 2135,10 / 18
HIST      2C ,,,ALLADI H S,W,9:00 am - 9:50 am,GIRV 2135,10 / 18
HIST      2C ,,,ALLADI H S,W,10:00am - 10:50am,GIRV 2135,12 / 18
HIST      2C ,,,ALLADI H S,W,11:00am - 11:50am,GIRV 2135,15 / 18
HIST      4B ,MEDIEV ERLY MOD EUR,,BOULEY B A,MTWR,12:30pm - 1:45pm,ARTS 1356,50 / 54
HIST      4B ,,Full,ROBERTS C K,T,10:00am - 10:50am,ELLSN2816,18 / 18
HIST      4B ,,,ROBERTS C K,T,2:00pm - 2:50pm,ELLSN2816,17 / 18
HIST      4B ,,,ROBERTS C K,T,3:00pm - 3:50pm,ELLSN2816,15 / 18
HIST      4C ,MODERN EUROPE,,AKULOV D A,MTW,3:30pm - 4:55pm,CHEM 1171,91 / 108
HIST      4C ,,,GRECO A L,M,9:00 am - 9:50 am,HSSB 3201,16 / 18
HIST      4C ,,,GRECO A L,M,10:00am - 10:50am,HSSB 3201,14 / 18
HIST      4C ,,,GRECO A L,M,11:00am - 11:50am,GIRV 1108,16 / 18
HIST      4C ,,,CRISLER J F,W,12:00pm - 12:50pm,ELLSN2816,14 / 18
HIST      4C ,,,CRISLER J F,W,1:00pm - 1:50pm,ELLSN2816,15 / 18
HIST      4C ,,,CRISLER J F,W,2:00pm - 2:50pm,ELLSN2816,16 / 18
HIST      8  ,INTRO HIST LAT AMER,,BELTRAN F,MTWR,9:30 am - 10:45am,ARTS 1356,39 / 54
HIST      8  ,,,MCQUILKIN C R,R,11:00am - 11:50am,HSSB 1211,15 / 18
HIST      8  ,,,MCQUILKIN C R,R,12:00pm - 12:50pm,HSSB 1211,11 / 18
HIST      8  ,,,MCQUILKIN C R,R,1:00pm - 1:50pm,HSSB 1211,13 / 18
HIST     17B ,AMERICAN PEOPLE,Full,WARDEN P M,TWR,2:00pm - 3:25pm,PHELP2524,54 / 54
HIST     17B ,,Full,MCINTOSH D G,T,10:00am - 10:50am,ELLSN2816,18 / 18
HIST     17B ,,Full,MCINTOSH D G,T,11:00am - 11:50am,ELLSN2816,19 / 18
HIST     17B ,,,MCINTOSH D G,T,12:00pm - 12:50pm,ELLSN2816,17 / 18
HIST     17C ,AMERICAN PEOPLE,,FENRICH E B,MTWR,11:00am - 12:15pm,LSB  1001,105 / 108
HIST     17C ,,Full,AHN E,M,1:00pm - 1:50pm,ELLSN2816,18 / 18
HIST     17C ,,Full,AHN E,M,2:00pm - 2:50pm,ELLSN2816,18 / 18
HIST     17C ,,Full,AHN E,M,3:00pm - 3:50pm,ELLSN2816,18 / 18
HIST     17C ,,,GILLERAN S W,R,3:00pm - 3:50pm,ELLSN2816,17 / 18
HIST     17C ,,Full,GILLERAN S W,R,4:00pm - 4:50pm,ELLSN2816,18 / 18
HIST     17C ,,,GILLERAN S W,R,5:00pm - 5:50pm,ELLSN2816,16 / 18
HIST     46  ,MID EAST HISTORY,,MASSIE E K,TWRF,11:00am - 12:15pm,PHELP1425,46 / 54
HIST     46  ,,,ALSHAIF G A,F,1:00pm - 1:50pm,ELLSN2816,17 / 18
HIST     46  ,,,ALSHAIF G A,F,2:00pm - 2:50pm,ELLSN2816,15 / 18
HIST     46  ,,,ALSHAIF G A,F,3:00pm - 3:50pm,ELLSN2816,14 / 18
HIST W   80  ,CHIN CIVIL,,BARBIERI-LOW,,,ONLINE,106 / 108
HIST W   80  ,CHIN CIVIL,Full,BARBIERI-LOW,,,ONLINE,54 / 54
HIST     99  ,INTRO TO RESEARCH,Full,T B A,,,T B A,0 / 0
HIST    106R ,UG SEM SCI TCH MED,Full,WARDEN P M,M   F,2:00pm - 4:05pm,HSSB 4041,15 / 15
HIST    124B ,WMN & EUR 1914-PRES,Full,JOHNSON JULIE,TWR,2:00pm - 3:25pm,PHELP1445,30 / 30
HIST    135B ,HISTORY OF RUSSIA,Full,SALUSCHEV S,MTW,2:00pm - 3:25pm,HSSB 4020,30 / 30
HIST    135R ,UGRAD SEM MD SOVIET,Cancelled,FEDOROVA M A,,,T B A,0 / 15
HIST    140A ,EARLY MODRN BRITAIN,Closed,THOMPSON W K,MTW,2:00pm - 3:25pm,HSSB 4020,25 / 30
HIST    146  ,HIST MOD MID EAST,,YUSUFJONOVA Z,MTW,2:00pm - 3:25pm,GIRV 2124,21 / 30
HIST    151C ,LATIN AMERICAN HIST,,TUMEN M E,TWR,3:30pm - 4:55pm,TD-W 2600,23 / 30
HIST    159B ,WOMEN AMER HIST,,AQUINO M K,MTWR,11:00am - 12:05pm,PHELP2532,29 / 30
HIST    173T ,AMER ENVIRON HIST,Full,MARTIN J A,MTWR,11:00am - 12:05pm,PHELP2532,30 / 30
HIST    177  ,CALIFORNIA HISTORY,Full,GRAVES G R,MTWR,9:30 am - 10:35am,PHELP3505,40 / 40
HIST    192  ,PUBLIC HISTORY,Full,CASE S H,MTW,3:30pm - 4:55pm,TD-W 2600,30 / 30
HIST    196  ,INTERNSHIP HISTORY,,T B A,,,T B A,0 / 3
HIST    196SJ,POV INEQ INTERNSHIP,Full,T B A,,,T B A,0 / 0
HIST    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
INT      10  ,TRANS ACADEMIC EXC,,ROOSE H M,M,4:00pm - 6:50pm,HSSB 1174,69 / 80
INT      10  ,TRANS ACADEMIC EXC,,ROOSE H M,M,4:00pm - 6:50pm,HSSB 1174,67 / 80
INT  W   20  ,INTRO TO RSRCH UNIV,,PROPEN A D,,,ONLINE,194 / 200
INT      35LT,SHAKESPEARE,Full,"['KEARNEY J J', 'APPEL I J']",MTWR,12:30pm - 3:20pm,TD-W 1507,30 / 30
INT      80AS,ARTS & SCIENCES,,"['NOVAK M J', 'PENDSE A A']",WR,2:00pm - 3:25pm,GIRV 1116,6 / 36
INT      80AS,,,"['WEITZNER N D', 'ANDERSON A K']",WR,3:30pm - 4:55pm,GIRV 1112,6 / 36
INT      80TH,TECH & HUMANITIES,,"['NOVAK M J', 'CRAWSHAW A S']",WR,9:30 am - 10:55am,GIRV 1119,8 / 36
INT      80TH,,,"['TOKA M', 'FLATLEY D J']",WR,11:00am - 12:25pm,GIRV 1119,8 / 36
INT      90M ,RES/PROF DEV MCNAIR,,SCHNEIDER B E,T,9:30 am - 11:00am,477  115,1 / 20
INT      90M ,RES/PROF DEV MCNAIR,,SCHNEIDER B E,M,9:30 am - 11:00am,477  115,2 / 20
INT      91  ,AQUATIC SCIENCE,,LONG R W,T R,2:00pm - 5:00pm,PHELP1445,17 / 30
INT      93LS,RESEARCH IN STEM,,SHAHANDEH M P,MTWR,9:30 am - 10:50am,PHELP1445,28 / 30
INT      93LS,,,CABIN Z A,M WR,12:30pm - 3:20pm,GIRV 2115,28 / 30
INT      94FC,FRST YR EXP SEMINAR,,DUTSCH D,M,3:30pm - 4:55pm,HSSB 4080,8 / 20
INT      94IM,FRST YR EXP SEMINAR,Full,PARK J S W,M,7:00pm - 8:25pm,HSSB 2201,20 / 20
INT      94VK,FRST YR EXP SEMINAR,,KUNKEL B M,W,2:00pm - 3:25pm,PHELP2524,33 / 50
INT      94ZZ,FRST YR EXP SEMINAR,,ZHAO X,T,3:30pm - 4:55pm,HSSB 5024,6 / 25
INT     108  ,DIALOGUES ADV & LDR,Full,FANCHER P J,T,2:00pm - 4:30pm,PHELP1444,30 / 30
INT     133A ,MEMORY,Full,"['YASUDA K', 'KOSIK K S', 'HIXSON M L', 'ARALERE T S']",MT R,2:00pm - 4:50pm,ARTS 1344,40 / 40
INT     133A ,,Full,,MT R,2:00pm - 4:50pm,ARTS 0641,40 / 40
INT     133B ,WRONG WITH WORLD,,"['FORAN J F', 'HILTNER K C']",MTWR,12:30pm - 3:20pm,PHELP3515,36 / 70
INT  W  188C ,TRNSFR SEM: COMM,,MULLIN D I,,,ONLINE,24 / 25
INT  W  188E ,TRNSFR STRT: ECON,Full,HARTMAN J L,,,ONLINE,25 / 25
INT     192DC,WASH CTR INTERNSHIP,Full,ADLER-KASSNER,,,T B A,17 / 0
INT     199H ,HONORS INDEP STUD,,BLAIN S M,,,T B A,0 / 20
ITAL      1  ,ELEMENTARY ITALIAN,,BORROMEO C,MTWRF,9:30 am - 11:45am,HSSB 4201,14 / 20
ITAL      2  ,ELEMENTARY ITALIAN,,DAHL SARNELLI,MTWRF,9:30 am - 11:45am,PHELP5309,12 / 20
ITAL      3  ,ELEMENTARY ITALIAN,,DE SIMONE T,MTWRF,9:30 am - 11:45am,PHELP5312,17 / 20
ITAL     20X ,ITALIAN CULTURE,,PADULA V,MTW,2:00pm - 3:55pm,PHELP1448,25 / 30
ITAL     99RA,INDEPENDEN RESEARCH,Full,T B A,,,T B A,0 / 0
JAPAN     1  ,FIRST YR JAPANESE I,Closed,YAMAUCHI Y,MTWRF,8:30 am - 12:20pm,OLDGM1211,23 / 22
JAPAN     2  ,FIRST YR JAPANESE 2,Closed,HASHIMOTO K,MTWRF,8:30 am - 12:20pm,OLDGM1211,24 / 22
JAPAN     3  ,FIRST YR JAPANESE 3,Full,HASHIMOTO K,MTWRF,8:30 am - 12:20pm,OLDGM1211,22 / 22
JAPAN   165  ,POP CULTURE JAPAN,,FRUHSTUCK S,M W,3:30pm - 6:20pm,TD-W 1701,135 / 150
JAPAN   198  ,READINGS IN JAPAN,,T B A,,,T B A,0 / 5
JAPAN   199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 5
KOR       1  ,FIRST YEAR KOR 1,Closed,LEE W A,MTWRF,8:30 am - 12:20pm,GIRV 1108,20 / 20
KOR       2  ,FIRST YEAR KOR 2,,LEE W A,MTWRF,8:30 am - 12:20pm,GIRV 1108,18 / 20
KOR       3  ,FIRST YEAR KOR 3,,LEE W A,MTWRF,8:30 am - 12:20pm,HSSB 3202,13 / 20
LAIS    101  ,INT HIST & SOC LAIS,,TUMEN M E,MTWR,3:30pm - 4:35pm,PHELP1440,26 / 30
LAIS    195A ,SENIOR HONRS THESIS,,T B A,,,T B A,0 / 5
LAIS    195B ,SENIOR HONRS THESIS,,T B A,,,T B A,0 / 5
LAIS    199  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
LING      3C ,AC ENGL,Closed,BAKER A D,MTWR,11:00am - 12:25pm,GIRV 1115,17 / 18
LING      8  ,ORAL COMM INTL,,BOWMAN I K,MTWR,12:30pm - 1:55pm,HSSB 1210,12 / 15
LING     12  ,UNIV WRIT FOR MLING,Full,LASHMET A J,MTWR,11:00am - 12:25pm,HSSB 1224,18 / 18
LING     12  ,UNIV WRIT FOR MLING,Closed,RIGHTMIRE S R,MTWR,11:00am - 12:25pm,SH   1609,17 / 18
LING     12  ,UNIV WRIT FOR MLING,Full,LASHMET A J,MTWR,12:30pm - 1:55pm,HSSB 1224,18 / 18
LING     20  ,LANG & LINGUISTICS,Full,KENNEDY R A,MTWR,9:30 am - 10:50am,SH   3605,31 / 20
LING     20  ,,Full,TROIANI G,F,9:30 am - 10:50am,SH   3605,31 / 20
LING     70  ,LANG IN SOCIETY,,SCHAEFER K J,MTWR,9:30 am - 10:35am,SH   3605,14 / 30
LING     70  ,,,CHENG Y,F,9:30 am - 10:35am,SH   3605,14 / 30
LING     99  ,INDEPENDENT STUDIES,,T B A,,,T B A,0 / 10
LING    106  ,INTRO TO PHONETICS,Full,TSAI K,MTW,11:00am - 12:20pm,SH   3605,30 / 30
LING    106  ,,Full,ROGERS P G,R,11:00am - 12:20pm,SH   3605,30 / 30
LING    180  ,LANG RACE ETHNICITY,,FINE J C,MTW,11:00am - 12:20pm,NH   1105,49 / 65
LING    180  ,,,BEN YOUSSEF C,R,11:00am - 12:20pm,SH   3605,28 / 33
LING    180  ,,,WILLIS C M,R,1:00pm - 2:20pm,SH   3605,21 / 32
LING    191  ,INTERNSHIP IN LING,,T B A,,,T B A,0 / 10
LING    195B ,HONORS THESIS,,T B A,,,T B A,0 / 10
LING    195C ,HONORS THESIS,,T B A,,,T B A,0 / 10
